date,mileage,service,Unnamed: 3
05/02/2018,4.0,Vehicle serviced,
05/02/2018,4.0,Pre-delivery inspection completed,
05/02/2018,4.0,Wheel locks installed,
05/02/2018,4.0,Tire condition and pressure checked,
05/02/2018,4.0,Nitrogen fill tires,
05/02/2018,4.0,Paint protection applied,
05/16/2018,,Vehicle serviced,
05/16/2018,,Vehicle washed/detailed,
09/28/2018,3640.0,Vehicle serviced,
09/28/2018,3640.0,Maintenance inspection completed,
09/28/2018,3640.0,Fluids checked,
09/28/2018,3640.0,Oil and filter changed,
09/28/2018,3640.0,Tires rotated,
04/02/2019,,Vehicle serviced,
04/02/2019,,Maintenance inspection completed,
04/02/2019,,Fluids checked,
04/02/2019,,Oil and filter changed,
04/02/2019,,Tires rotated,
08/07/2019,,Vehicle serviced,
08/07/2019,,Maintenance inspection completed,
08/07/2019,,"15,000 mile service performed",
08/07/2019,,Mirror(s) checked,
11/15/2019,11154.0,Vehicle serviced,
11/15/2019,11154.0,Maintenance inspection completed,
11/15/2019,11154.0,"20,000 mile service performed",
05/18/2020,15121.0,Vehicle serviced,
05/18/2020,15121.0,Maintenance inspection completed,
05/18/2020,15121.0,"25,000 mile service performed",
05/18/2020,15121.0,Oil and filter changed,
11/27/2020,19147.0,Tires rotated,
04/11/2021,19640.0,Tires rotated,
04/17/2021,19800.0,Air filter replaced,
04/17/2021,19800.0,Cabin air filter replaced/cleaned,
04/17/2021,19800.0,Oil and filter changed,
04/17/2021,19800.0,Safety inspection performed,
04/19/2021,19783.0,Vehicle serviced,recall of fuel pump fixed. fuel pump replaced 
07/23/2021,25100.0,Fluids checked,
07/23/2021,25100.0,Front wiper blades/refills replaced,
07/23/2021,25100.0,Window tint installed,
07/24/2021,25125.0,Tires rotated,
08/12/2021,25442.0,Antifreeze/coolant flushed/changed,
08/12/2021,25442.0,Brake fluid flushed/changed,
11/02/2022,30009.0,Oil and filter changed,
11/02/2022,30009.0,Tires rotated,
07/14/2022,35028.0,Oil and filter changed,
08/03/2022,35200.0,Cabin air filter replaced/cleaned,
08/03/2022,35200.0,Tires rotated,
02/17/2023,39908.0,Brakes checked,
02/17/2023,39908.0,Tires rotated,
03/07/2023,40018.0,Cabin air filter replaced/cleaned,
05/12/2023,42393.0,Oil and filter changed,
09/15/2023,43202.0,Tires rotated,
05/16/2024,44000.0,Wiper(s) replaced,
05/16/2024,44000.0,Oil and filter changed,
05/16/2024,44000.0,Brakes checked,
05/16/2024,44000.0,Cabin air filter replaced/cleaned,
05/30/2025,46544.0,Maintenance inspection completed,
05/30/2025,46544.0,Antifreeze/coolant checked,
05/30/2025,46544.0,Cooling system checked,
05/30/2025,46544.0,Fluids checked,
05/30/2025,46544.0,Oil and filter changed,
